timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T10:40:50,8.39,48459776,33021190144,0.15,72803,71355,0,0
2026-06-22T10:40:56,10.00,56983552,33021190144,0.17,556628,280419,0,0
2026-06-22T10:41:02,7.05,66150400,33021190144,0.20,985332,440227,0,0
2026-06-22T10:41:08,7.49,75677696,33021190144,0.23,1480369,608895,0,0
2026-06-22T10:41:14,11.79,84135936,33021190144,0.25,2098574,786927,0,0
2026-06-22T10:41:20,15.67,93569024,33021190144,0.28,2665994,984409,0,0
2026-06-22T10:41:26,6.75,102727680,33021190144,0.31,3068290,1137037,0,0
2026-06-22T10:41:32,5.62,102232064,33021190144,0.31,3587049,1255754,0,0
2026-06-22T10:41:38,5.87,102576128,33021190144,0.31,4006376,1320595,0,0
2026-06-22T10:41:44,6.26,102998016,33021190144,0.31,4473657,1425573,0,0
2026-06-22T10:41:50,3.06,103415808,33021190144,0.31,4910887,1506465,0,0
2026-06-22T10:41:56,2.31,103690240,33021190144,0.31,5278502,1566446,0,0
2026-06-22T10:42:02,5.83,103956480,33021190144,0.31,5864718,1681227,0,0
2026-06-22T10:42:08,11.19,104153088,33021190144,0.32,6457250,1793252,0,0
2026-06-22T10:42:14,6.47,104349696,33021190144,0.32,6991454,1895282,0,0
2026-06-22T10:42:20,8.86,104505344,33021190144,0.32,7599431,2025557,0,0
2026-06-22T10:42:26,2.36,104591360,33021190144,0.32,8116314,2126214,0,0
2026-06-22T10:42:32,14.72,104722432,33021190144,0.32,8877048,2264174,0,0
2026-06-22T10:42:38,4.77,104816640,33021190144,0.32,9512119,2414318,0,0
2026-06-22T10:42:44,4.76,104906752,33021190144,0.32,9931384,2492094,0,0
