timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T06:00:28,8.19,148090880,33021190144,0.45,6880069,1263645,0,0
2026-06-22T06:00:34,48.60,165122048,33021190144,0.50,9057591,7034799,0,0
2026-06-22T06:00:43,61.66,167575552,33021190144,0.51,13441851,19570672,0,0
2026-06-22T06:00:51,63.98,168771584,33021190144,0.51,18581792,34608199,0,0
2026-06-22T06:00:59,65.69,188084224,33021190144,0.57,24459228,52032871,0,0
2026-06-22T06:01:07,72.55,189169664,33021190144,0.57,30517142,69981723,0,0
2026-06-22T06:01:15,69.59,190935040,33021190144,0.58,36677486,88757229,0,0
2026-06-22T06:01:23,62.28,192667648,33021190144,0.58,42637401,106946955,0,0
2026-06-22T06:01:31,62.79,194314240,33021190144,0.59,48660892,126294113,0,0
2026-06-22T06:01:39,63.86,195899392,33021190144,0.59,54652390,145130028,0,0
2026-06-22T06:01:47,74.50,214827008,33021190144,0.65,60547510,163591030,0,0
2026-06-22T06:01:55,65.22,216707072,33021190144,0.66,66420912,183369025,0,0
2026-06-22T06:02:03,71.03,216420352,33021190144,0.66,72174267,202445354,0,0
2026-06-22T06:02:11,64.90,217034752,33021190144,0.66,77956795,221109691,0,0
2026-06-22T06:02:19,62.48,216662016,33021190144,0.66,83709038,239873671,0,0
2026-06-22T06:02:27,63.14,218935296,33021190144,0.66,89423396,258560409,0,0
