timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T06:00:28,1.27,8491008,33021190144,0.03,363602,126571,0,0
2026-06-22T06:00:34,3.51,8945664,33021190144,0.03,4423892,2139068,0,0
2026-06-22T06:00:43,4.18,9584640,33021190144,0.03,11803496,5593742,0,0
2026-06-22T06:00:51,3.63,10002432,33021190144,0.03,20743543,9255448,0,0
2026-06-22T06:00:59,3.37,10190848,33021190144,0.03,30870354,13601571,0,0
2026-06-22T06:01:07,3.64,10641408,33021190144,0.03,41037662,18672587,0,0
2026-06-22T06:01:15,5.54,10768384,33021190144,0.03,51989911,22774181,0,0
2026-06-22T06:01:23,3.62,10805248,33021190144,0.03,62976597,27009891,0,0
2026-06-22T06:01:31,3.28,10964992,33021190144,0.03,74415368,31276395,0,0
2026-06-22T06:01:39,4.01,10817536,33021190144,0.03,85883421,36103169,0,0
2026-06-22T06:01:47,3.92,11046912,33021190144,0.03,97332670,40369266,0,0
2026-06-22T06:01:55,6.47,11317248,33021190144,0.03,109234921,45107070,0,0
2026-06-22T06:02:03,3.75,11182080,33021190144,0.03,120563578,49566698,0,0
2026-06-22T06:02:11,3.54,10969088,33021190144,0.03,131229142,53713121,0,0
2026-06-22T06:02:19,3.15,11190272,33021190144,0.03,142365636,58068736,0,0
2026-06-22T06:02:27,0.66,10973184,33021190144,0.03,151370443,61179087,0,0
