Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/orders/{id},14877,0,440,396.38541377132276,5.291792999742029,727.14996600007,0.0,122.34931141339285,0.0,440,490,520,530,580,610,630,650,680,700,730
GET,GET /api/orders (cached),19138,0,420,369.6178907290794,2.522332000808092,740.5190290000974,10622.505329710524,157.39202270817452,0.0,420,480,510,520,560,600,630,640,680,730,740
GET,GET /api/products,19465,0,390,356.43281123970826,3.855123999528587,716.6219169994292,3790.0,160.08128968620636,0.0,390,460,490,510,550,590,620,630,670,700,720
GET,GET /api/products/{id},19288,0,380,352.6926218635931,2.0693509995908244,711.7701870001838,190.6028618830361,158.62563141369372,0.0,380,450,490,510,550,590,620,630,670,690,710
GET,GET /api/users/me,19549,0,380,352.05465440753807,2.7400760000091395,736.1651089995576,134.45981891656862,160.7721105612971,0.0,380,450,490,510,550,580,610,630,670,690,740
PATCH,PATCH /api/orders/{id}/status,14823,0,440,395.8708792852989,5.033272000218858,722.2095730003275,636.3426431896377,121.90521227940596,0.0,440,490,520,530,580,610,630,650,690,700,720
POST,POST /api/orders,19451,0,440,381.63610469574525,6.758229000297433,713.0621520000204,643.2347951262146,159.96615287369124,0.0,440,490,520,530,570,600,630,650,680,700,710
,Aggregated,126591,0,410,370.3658815384219,2.0693509995908244,740.5190290000974,2411.8209588359364,1041.0917309358617,0.0,410,470,500,520,560,600,620,640,680,700,740
