timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:04:39,0.00,3899392,33021190144,0.01,9677,6416,0,0
2026-06-22T16:04:52,5.78,8450048,33021190144,0.03,5636640,5799364,0,0
2026-06-22T16:05:06,6.23,12214272,33021190144,0.04,13391068,13718008,0,0
2026-06-22T16:05:20,4.85,12394496,33021190144,0.04,21415409,21843107,0,0
2026-06-22T16:05:34,11.30,9691136,33021190144,0.03,31220222,31601227,0,0
2026-06-22T16:05:48,6.41,12607488,33021190144,0.04,41040992,41551928,0,0
2026-06-22T16:06:02,8.52,12619776,33021190144,0.04,51232746,52038953,0,0
2026-06-22T16:06:16,6.58,12664832,33021190144,0.04,60343061,61399845,0,0
2026-06-22T16:06:30,6.70,12935168,33021190144,0.04,70254040,71576318,0,0
