timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T12:11:53,0.67,9601024,33021190144,0.03,1053787,998258,0,0
2026-06-22T12:12:15,0.52,9846784,33021190144,0.03,1307623,1251778,0,0
2026-06-22T12:12:40,0.66,9580544,33021190144,0.03,1556296,1499570,0,0
2026-06-22T12:13:04,0.47,9580544,33021190144,0.03,1805720,1750342,0,0
2026-06-22T12:13:28,0.54,9580544,33021190144,0.03,2055562,2001152,0,0
2026-06-22T12:13:52,0.72,9580544,33021190144,0.03,2299208,2237744,0,0
