timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T12:11:53,0.40,9592832,33021190144,0.03,968787,904108,0,0
2026-06-22T12:12:15,0.51,9576448,33021190144,0.03,1192707,1127296,0,0
2026-06-22T12:12:40,0.70,9576448,33021190144,0.03,1429698,1363496,0,0
2026-06-22T12:13:04,0.51,9572352,33021190144,0.03,1668716,1602628,0,0
2026-06-22T12:13:28,0.48,9572352,33021190144,0.03,1892116,1825400,0,0
2026-06-22T12:13:52,0.77,9572352,33021190144,0.03,2110966,2037322,0,0
