timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T12:11:53,0.09,122945536,33021190144,0.37,84796553,140731,0,0
2026-06-22T12:12:15,0.57,125087744,33021190144,0.38,88599835,178195,0,0
2026-06-22T12:12:40,0.58,126734336,33021190144,0.38,92672737,206317,0,0
2026-06-22T12:13:04,3.20,129880064,33021190144,0.39,97575990,237604,0,0
2026-06-22T12:13:28,0.74,147349504,33021190144,0.45,102520350,268549,0,0
2026-06-22T12:13:52,0.29,147742720,33021190144,0.45,106309548,294868,0,0
