timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T12:11:53,0.42,9150464,33021190144,0.03,890003,891824,0,0
2026-06-22T12:12:15,0.73,9146368,33021190144,0.03,1113375,1115706,0,0
2026-06-22T12:12:40,0.53,9142272,33021190144,0.03,1353040,1356218,0,0
2026-06-22T12:13:04,0.57,9142272,33021190144,0.03,1620370,1622858,0,0
2026-06-22T12:13:28,0.69,9142272,33021190144,0.03,1856792,1860066,0,0
2026-06-22T12:13:52,0.69,9142272,33021190144,0.03,2082464,2080718,0,0
