timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T12:11:53,0.06,140386304,33021190144,0.43,78080204,127181,0,0
2026-06-22T12:12:15,0.55,142364672,33021190144,0.43,81446232,161333,0,0
2026-06-22T12:12:40,0.68,143876096,33021190144,0.44,85396415,189653,0,0
2026-06-22T12:13:04,0.50,147288064,33021190144,0.45,90803431,224000,0,0
2026-06-22T12:13:28,0.44,164679680,33021190144,0.50,95310999,252029,0,0
2026-06-22T12:13:52,3.07,165081088,33021190144,0.50,99470073,280766,0,0
