timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:00:10,171.78,548954112,33021190144,1.66,277472,171171,0,0
2026-06-22T16:00:22,135.59,587132928,33021190144,1.78,5003012,5075678,0,0
2026-06-22T16:00:36,136.64,694329344,33021190144,2.10,10121021,10767270,0,0
2026-06-22T16:00:50,116.79,777584640,33021190144,2.35,16157928,17308811,0,0
2026-06-22T16:01:04,70.54,907018240,33021190144,2.75,27385507,30038011,0,0
2026-06-22T16:01:18,62.00,920846336,33021190144,2.79,34150508,37745846,0,0
2026-06-22T16:01:33,41.57,929804288,33021190144,2.82,39522868,43817891,0,0
2026-06-22T16:01:47,53.49,937398272,33021190144,2.84,40810494,45722076,0,0
2026-06-22T16:02:01,27.86,975826944,33021190144,2.96,46881546,51987161,0,0
