timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:00:10,0.00,3907584,33021190144,0.01,9486,6419,0,0
2026-06-22T16:00:22,6.41,8486912,33021190144,0.03,6225687,6397961,0,0
2026-06-22T16:00:36,5.79,12283904,33021190144,0.04,15415050,15799904,0,0
2026-06-22T16:00:50,6.89,12374016,33021190144,0.04,25024514,25569167,0,0
2026-06-22T16:01:04,5.94,12398592,33021190144,0.04,36062418,36871150,0,0
2026-06-22T16:01:18,6.88,12394496,33021190144,0.04,47409813,48557742,0,0
2026-06-22T16:01:33,6.25,12496896,33021190144,0.04,57471369,58889127,0,0
2026-06-22T16:01:47,6.95,12521472,33021190144,0.04,67239507,68898182,0,0
2026-06-22T16:02:01,6.60,12386304,33021190144,0.04,77517601,79450068,0,0
