timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:13:38,197.36,563982336,33021190144,1.71,143187,50554,0,0
2026-06-22T16:13:44,240.83,698257408,33021190144,2.11,5008329,5449439,0,0
2026-06-22T16:13:52,180.56,799604736,33021190144,2.42,11672471,12836758,0,0
2026-06-22T16:14:00,162.19,808611840,33021190144,2.45,17414711,19707927,0,0
2026-06-22T16:14:08,170.03,822947840,33021190144,2.49,23916652,27110086,0,0
2026-06-22T16:14:17,166.66,970133504,33021190144,2.94,30309570,34444715,0,0
