timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:13:38,103.98,1235263488,33021190144,3.74,26533431,10353704,0,0
2026-06-22T16:13:44,167.27,1561149440,33021190144,4.73,115548890,15995918,0,0
2026-06-22T16:13:52,164.31,1696706560,33021190144,5.14,208784682,22477964,0,0
2026-06-22T16:14:00,175.00,1656676352,33021190144,5.02,302852538,28614004,0,0
2026-06-22T16:14:08,169.41,1643311104,33021190144,4.98,399666977,35469427,0,0
