Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/orders/{id},2436,199,1100,2972.4017205361556,1.1852579991682433,31990.26867500652,14.45935960591133,20.38015182832559,1.664881040162887,1100,1800,2800,3600,7700,18000,21000,23000,28000,32000,32000
GET,GET /api/orders (cached),4303,358,2300,4253.671505270994,1.1201840025023557,49049.53477199888,8207.219614222635,35.999915154878906,2.995112625016651,2300,3200,4600,6100,12000,20000,23000,26000,37000,49000,49000
GET,GET /api/products,4528,344,1700,4125.699862726376,1.2341700057731941,43824.93516400427,3551.5512367491165,37.882318340992725,2.877985315658458,1700,3100,4600,5700,12000,19000,23000,26000,33000,44000,44000
GET,GET /api/products/{id},4559,361,300,1817.8479243436525,1.3080210046609864,22412.502815001062,189.53542443518316,38.1416716688573,3.020211334164835,300,450,940,1100,1500,19000,20000,21000,22000,22000,22000
GET,GET /api/users/me,4580,320,300,1675.1577070499377,1.2607810058398172,22518.984353999258,137.29628820960698,38.317362632894586,2.677195642472984,300,430,900,1100,1500,18000,20000,21000,22000,23000,23000
PATCH,PATCH /api/orders/{id}/status,2427,199,1100,3091.4295299835785,1.3045939995208755,32110.871210003097,594.8842192006592,20.30485570088104,1.664881040162887,1100,1700,2900,3700,7900,19000,22000,24000,30000,32000,32000
POST,POST /api/orders,4426,373,1100,3377.131452261203,1.1039940000046045,33290.1248929993,603.8657930411207,37.02896222995446,3.120606170757572,1100,1900,3200,4300,9700,20000,22000,24000,30000,33000,33000
,Aggregated,27259,2154,910,3031.4891345677474,1.1039940000046045,49049.53477199888,2092.5828533695294,228.05523755678462,18.020873168396275,910,1600,2600,3500,8800,19000,21000,23000,31000,45000,49000
