Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/orders/{id},979,17,820,4711.610440914309,272.0415720032179,75791.49164800037,14.414708886619,9.38090312557069,0.1628961727627188,820,1100,1900,2600,4800,46000,66000,68000,76000,76000,76000
GET,GET /api/orders (cached),1443,70,1300,5629.826119099923,230.06173999601742,77063.50514800579,8651.30492030492,13.827010429211956,0.6707489466700186,1300,1900,2900,3500,7000,51000,68000,71000,76000,77000,77000
GET,GET /api/products,1480,10,1100,6019.762799330982,349.9974070000462,76168.21313700348,3810.114864864865,14.181549158166108,0.09582127809571696,1100,1900,2800,3600,7500,63000,66000,68000,76000,76000,76000
GET,GET /api/products/{id},1450,7,560,1943.016324922018,209.9101550047635,63308.37576400518,192.76620689655172,13.894085323878958,0.06707489466700187,560,660,700,730,800,890,41000,63000,63000,63000,63000
GET,GET /api/users/me,1485,6,560,1684.6719887589709,225.25335200043628,63304.120412001794,136.24511784511785,14.229459797213968,0.05749276685743017,560,660,700,730,800,870,23000,59000,63000,63000,63000
PATCH,PATCH /api/orders/{id}/status,974,36,820,4264.291212882084,289.8922330059577,75460.9314699992,637.9445585215606,9.332992486522832,0.34495660114458104,820,1300,2300,3100,5100,12000,65000,66000,75000,75000,75000
POST,POST /api/orders,1544,60,850,4600.481654062136,267.9692689998774,75455.13013799791,655.7299222797927,14.794805337978698,0.5749276685743017,860,1500,2400,3000,5400,15000,66000,67000,75000,75000,75000
,Aggregated,9355,206,760,4085.668577679239,209.9101550047635,77063.50514800579,2164.890967397114,89.64080565854321,1.9739183287717692,760,1000,1600,2200,4600,13000,65000,67000,75000,77000,77000
