Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/users/me,HTTPError('500 Server Error: Internal Server Error for url: GET /api/users/me'),915,2026-06-22T12:16:10Z,2026-06-22T12:17:41Z
GET,GET /api/products/{id},HTTPError('500 Server Error: Internal Server Error for url: GET /api/products/{id}'),859,2026-06-22T12:16:11Z,2026-06-22T12:17:41Z
GET,GET /api/products,HTTPError('500 Server Error: Internal Server Error for url: GET /api/products'),894,2026-06-22T12:16:11Z,2026-06-22T12:17:41Z
GET,GET /api/orders (cached),CatchResponseError('500'),13051,2026-06-22T12:15:44Z,2026-06-22T12:17:41Z
POST,POST /api/orders,CatchResponseError('500'),13177,2026-06-22T12:15:44Z,2026-06-22T12:17:41Z
