timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T14:37:45,36.60,49807360,33021190144,0.15,1627268,384636,0,0
2026-06-22T14:37:53,44.29,61968384,33021190144,0.19,6721432,1554072,0,0
2026-06-22T14:38:01,42.08,75436032,33021190144,0.23,11524875,2622283,0,0
2026-06-22T14:38:09,47.73,88092672,33021190144,0.27,16972149,3774815,0,0
2026-06-22T14:38:17,43.28,101679104,33021190144,0.31,22080094,4940254,0,0
2026-06-22T14:38:25,37.52,104341504,33021190144,0.32,27421723,6039335,0,0
2026-06-22T14:38:33,37.51,104988672,33021190144,0.32,32797199,7062385,0,0
2026-06-22T14:38:41,41.00,105439232,33021190144,0.32,38138155,8018714,0,0
2026-06-22T14:38:49,39.47,105508864,33021190144,0.32,43325856,9007215,0,0
2026-06-22T14:38:57,44.22,105775104,33021190144,0.32,49103199,10096340,0,0
2026-06-22T14:39:05,41.28,105811968,33021190144,0.32,54961671,11193556,0,0
2026-06-22T14:39:13,47.80,106070016,33021190144,0.32,60480945,12275636,0,0
2026-06-22T14:39:21,45.60,106086400,33021190144,0.32,65967580,13270518,0,0
2026-06-22T14:39:29,36.33,106090496,33021190144,0.32,71718954,14384883,0,0
2026-06-22T14:39:38,44.55,106082304,33021190144,0.32,77140715,15428474,0,0
