timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T10:36:20,9.43,48361472,33021190144,0.15,139667,83599,0,0
2026-06-22T10:36:26,10.05,56926208,33021190144,0.17,731316,289029,0,0
2026-06-22T10:36:32,5.88,66338816,33021190144,0.20,1315763,479126,0,0
2026-06-22T10:36:38,8.07,75608064,33021190144,0.23,1800344,650624,0,0
2026-06-22T10:36:44,9.36,84606976,33021190144,0.26,2322824,830656,0,0
2026-06-22T10:36:50,16.57,93548544,33021190144,0.28,2784899,977257,0,0
2026-06-22T10:36:56,15.24,102940672,33021190144,0.31,3442554,1178392,0,0
2026-06-22T10:37:02,5.37,102502400,33021190144,0.31,3909261,1268916,0,0
2026-06-22T10:37:08,5.04,102739968,33021190144,0.31,4301976,1339865,0,0
2026-06-22T10:37:14,3.07,103071744,33021190144,0.31,4696023,1411823,0,0
2026-06-22T10:37:20,8.30,103321600,33021190144,0.31,5106434,1469911,0,0
2026-06-22T10:37:26,8.29,103800832,33021190144,0.31,5738080,1598981,0,0
2026-06-22T10:37:32,4.32,104022016,33021190144,0.32,6210874,1689014,0,0
2026-06-22T10:37:38,5.55,104198144,33021190144,0.32,6786200,1772837,0,0
2026-06-22T10:37:44,6.69,104333312,33021190144,0.32,7350651,1887566,0,0
2026-06-22T10:37:50,3.04,104529920,33021190144,0.32,7920837,1992978,0,0
2026-06-22T10:37:56,4.85,104665088,33021190144,0.32,8646574,2124147,0,0
2026-06-22T10:38:03,5.90,104820736,33021190144,0.32,9200244,2216631,0,0
2026-06-22T10:38:09,9.42,104923136,33021190144,0.32,9726103,2326237,0,0
2026-06-22T10:38:15,9.50,104951808,33021190144,0.32,10205363,2417780,0,0
