timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T10:36:16,28.10,1161158656,33021190144,3.52,8165179,972631,0,0
2026-06-22T10:36:20,526.33,1293225984,33021190144,3.92,8456888,1650165,0,0
2026-06-22T10:36:26,562.90,1333346304,33021190144,4.04,8796130,2374224,0,0
2026-06-22T10:36:32,515.49,1321320448,33021190144,4.00,9079250,3024612,0,0
2026-06-22T10:36:38,529.36,1326886912,33021190144,4.02,9343335,3514096,0,0
2026-06-22T10:36:44,581.85,1319952384,33021190144,4.00,9611952,4083587,0,0
2026-06-22T10:36:50,535.13,1355444224,33021190144,4.10,9868104,4642133,0,0
2026-06-22T10:36:56,521.99,1352019968,33021190144,4.09,10170585,5267532,0,0
2026-06-22T10:37:02,554.00,1340444672,33021190144,4.06,10437046,5849186,0,0
2026-06-22T10:37:08,530.62,1336602624,33021190144,4.05,10667253,6294177,0,0
2026-06-22T10:37:14,534.86,1330954240,33021190144,4.03,10868699,6718934,0,0
2026-06-22T10:37:20,599.67,1342603264,33021190144,4.07,11189923,7445042,0,0
2026-06-22T10:37:26,588.50,1387347968,33021190144,4.20,11501796,8103664,0,0
2026-06-22T10:37:32,600.33,1361080320,33021190144,4.12,11774620,8683954,0,0
2026-06-22T10:37:38,558.40,1371734016,33021190144,4.15,12030523,9254066,0,0
2026-06-22T10:37:44,586.09,1362276352,33021190144,4.13,12336136,9854378,0,0
2026-06-22T10:37:50,552.42,1387106304,33021190144,4.20,12650388,10583500,0,0
2026-06-22T10:37:56,564.95,1387937792,33021190144,4.20,12965689,11243349,0,0
2026-06-22T10:38:03,552.93,1382412288,33021190144,4.19,13228919,11828854,0,0
2026-06-22T10:38:09,577.25,1389666304,33021190144,4.21,13501020,12423400,0,0
2026-06-22T10:38:15,500.53,1391255552,33021190144,4.21,14083008,13067087,0,0
