Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/orders/{id},120,1,22000,25798.591159125168,193.39271900025778,84497.83494300209,4.516666666666667,1.0066716886732066,0.008388930738943388,22000,27000,30000,32000,48000,61000,76000,76000,84000,84000,84000
GET,GET /api/orders (cached),658,7,24000,25458.94732081309,10.143514999072067,90491.59549600154,8001.427051671732,5.51991642622475,0.05872251517260372,24000,29000,30000,32000,42000,59000,78000,84000,90000,90000,90000
GET,GET /api/products,647,6,22000,23611.588711344673,132.35354400239885,93060.71091999911,3799.8964451313755,5.427638188096372,0.05033358443366033,22000,27000,29000,30000,41000,51000,77000,84000,93000,93000,93000
GET,GET /api/products/{id},765,0,20000,16039.22531429669,3.8609289986197837,31759.255409997422,190.67320261437908,6.417532015291692,0.0,20000,22000,23000,26000,29000,30000,31000,32000,32000,32000,32000
GET,GET /api/users/me,747,0,20000,16429.32363803078,3.653798001323594,31712.145796002005,134.61579651941096,6.266531261990711,0.0,20000,22000,23000,26000,28000,30000,31000,31000,32000,32000,32000
PATCH,PATCH /api/orders/{id}/status,125,0,22000,24151.935397711954,43.63732800266007,60403.87904199815,647.136,1.0486163423679236,0.0,22000,26000,30000,32000,41000,47000,54000,56000,60000,60000,60000
POST,POST /api/orders,683,10,23000,25325.968591515448,11.421674000303028,90495.60152200138,640.2181551976574,5.729639694698334,0.08388930738943388,23000,28000,31000,34000,47000,55000,76000,81000,90000,90000,90000
,Aggregated,3745,24,22000,21357.50514504539,3.653798001323594,93060.71091999911,2266.6483311081442,31.41654561734299,0.20133433773464132,22000,25000,28000,29000,34000,47000,64000,77000,90000,93000,93000
