timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T11:53:35,61.30,183541760,33021190144,0.56,11759925,65367774,0,0
2026-06-22T11:53:51,66.63,187236352,33021190144,0.57,25633723,109118830,0,0
2026-06-22T11:54:09,77.25,189116416,33021190144,0.57,40547163,158158965,0,0
2026-06-22T11:54:27,66.65,209444864,33021190144,0.63,55254621,207225545,0,0
2026-06-22T11:54:45,66.17,213217280,33021190144,0.65,70190245,257542628,0,0
2026-06-22T11:55:03,82.11,214982656,33021190144,0.65,85045075,308053689,0,0
2026-06-22T11:55:21,81.16,232640512,33021190144,0.70,100131478,360061656,0,0
