timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T11:50:14,3.81,11313152,33021190144,0.03,4778463,6763322,0,0
2026-06-22T11:50:30,4.46,12517376,33021190144,0.04,26310180,36418641,0,0
2026-06-22T11:50:48,4.54,13000704,33021190144,0.04,52554103,71972096,0,0
2026-06-22T11:51:06,4.36,12951552,33021190144,0.04,80789478,110505156,0,0
2026-06-22T11:51:24,4.31,13213696,33021190144,0.04,110624109,150705684,0,0
2026-06-22T11:51:42,6.06,13152256,33021190144,0.04,140597563,190793527,0,0
2026-06-22T11:52:00,4.39,13139968,33021190144,0.04,170435985,229554427,0,0
