timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T11:50:14,0.60,8503296,33021190144,0.03,217327,107613,0,0
2026-06-22T11:50:30,0.64,8503296,33021190144,0.03,268136,135855,0,0
2026-06-22T11:50:48,0.74,8503296,33021190144,0.03,325008,164712,0,0
2026-06-22T11:51:06,0.90,8503296,33021190144,0.03,381894,193635,0,0
2026-06-22T11:51:24,0.75,8503296,33021190144,0.03,438815,222287,0,0
2026-06-22T11:51:42,0.71,8503296,33021190144,0.03,488736,249762,0,0
2026-06-22T11:52:00,0.77,8503296,33021190144,0.03,538157,277541,0,0
