timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T12:15:37,34.67,296632320,33021190144,0.90,10278209,158281757,0,0
2026-06-22T12:16:01,31.15,302034944,33021190144,0.91,16477681,173910014,0,0
2026-06-22T12:16:27,46.85,304414720,33021190144,0.92,24167341,193703524,0,0
2026-06-22T12:16:54,2.49,308473856,33021190144,0.93,33948457,219688114,0,0
2026-06-22T12:17:20,34.89,326733824,33021190144,0.99,43647184,243966942,0,0
