timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T05:57:11,0.45,618999808,33021190144,1.87,44718,44935,0,0
2026-06-22T05:57:17,405.50,718204928,33021190144,2.17,5718056,7839208,0,0
2026-06-22T05:57:25,400.49,756600832,33021190144,2.29,23713821,34094976,0,0
2026-06-22T05:57:33,239.90,767901696,33021190144,2.33,47952016,69511750,0,0
2026-06-22T05:57:41,175.29,788467712,33021190144,2.39,74944140,109161942,0,0
2026-06-22T05:57:50,163.59,794435584,33021190144,2.41,102772666,150725023,0,0
2026-06-22T05:57:58,164.10,799002624,33021190144,2.42,130612123,191937282,0,0
2026-06-22T05:58:06,218.18,800673792,33021190144,2.42,159468028,234825272,0,0
2026-06-22T05:58:14,184.83,801718272,33021190144,2.43,188694547,277488150,0,0
2026-06-22T05:58:22,129.49,803213312,33021190144,2.43,217801683,320087799,0,0
2026-06-22T05:58:30,120.19,804929536,33021190144,2.44,247054865,362803876,0,0
2026-06-22T05:58:38,136.27,805720064,33021190144,2.44,276613488,406268193,0,0
2026-06-22T05:58:46,137.41,805724160,33021190144,2.44,306576764,450124610,0,0
2026-06-22T05:58:54,166.61,805826560,33021190144,2.44,336578872,493484074,0,0
2026-06-22T05:59:02,126.39,806555648,33021190144,2.44,366931115,537521178,0,0
2026-06-22T05:59:10,129.83,806453248,33021190144,2.44,397330907,581639326,0,0
