timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T14:42:02,3.29,549982208,33021190144,1.67,75326,16319,0,0
2026-06-22T14:42:08,224.89,671141888,33021190144,2.03,3357597,3612107,0,0
2026-06-22T14:42:16,197.01,762753024,33021190144,2.31,9367962,10217461,0,0
2026-06-22T14:42:24,186.44,852836352,33021190144,2.58,15234687,16999535,0,0
2026-06-22T14:42:32,136.68,856330240,33021190144,2.59,21895842,24551950,0,0
2026-06-22T14:42:40,142.62,985370624,33021190144,2.98,29220439,32918728,0,0
2026-06-22T14:42:49,74.38,999612416,33021190144,3.03,36083694,41035808,0,0
2026-06-22T14:42:57,70.37,1020170240,33021190144,3.09,43782335,49886530,0,0
2026-06-22T14:43:05,64.53,1020911616,33021190144,3.09,51181703,58574915,0,0
2026-06-22T14:43:13,64.47,1016684544,33021190144,3.08,58151977,66696421,0,0
2026-06-22T14:43:21,71.78,1020669952,33021190144,3.09,65281122,74974601,0,0
2026-06-22T14:43:29,58.48,1029181440,33021190144,3.12,72439991,83263506,0,0
2026-06-22T14:43:37,57.51,1029382144,33021190144,3.12,78996183,90872011,0,0
2026-06-22T14:43:45,43.65,1029701632,33021190144,3.12,85629640,98739906,0,0
2026-06-22T14:43:53,54.58,1029918720,33021190144,3.12,92555071,106716476,0,0
2026-06-22T14:44:01,86.95,1030656000,33021190144,3.12,99257244,114607665,0,0
