timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T14:42:08,32.95,49860608,33021190144,0.15,1484375,334940,0,0
2026-06-22T14:42:16,40.32,62148608,33021190144,0.19,5597106,1289376,0,0
2026-06-22T14:42:24,35.26,75751424,33021190144,0.23,9951445,2242280,0,0
2026-06-22T14:42:32,42.56,88039424,33021190144,0.27,14728474,3270118,0,0
2026-06-22T14:42:40,42.72,100524032,33021190144,0.30,20221730,4411411,0,0
2026-06-22T14:42:49,39.35,104030208,33021190144,0.32,25733185,5526875,0,0
2026-06-22T14:42:57,46.14,104468480,33021190144,0.32,31362896,6621861,0,0
2026-06-22T14:43:05,50.43,104525824,33021190144,0.32,37235291,7821121,0,0
2026-06-22T14:43:13,31.78,105304064,33021190144,0.32,42378450,8834558,0,0
2026-06-22T14:43:21,43.62,105385984,33021190144,0.32,47914547,9923874,0,0
2026-06-22T14:43:29,50.10,105431040,33021190144,0.32,53162092,11004648,0,0
2026-06-22T14:43:37,37.10,105709568,33021190144,0.32,58148347,11974915,0,0
2026-06-22T14:43:45,37.34,105713664,33021190144,0.32,63347298,12924054,0,0
2026-06-22T14:43:53,37.56,105717760,33021190144,0.32,68467193,13924666,0,0
2026-06-22T14:44:01,38.58,105897984,33021190144,0.32,73559661,14927904,0,0
