timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T16:09:05,83.37,570839040,33021190144,1.73,120732,26951,0,0
2026-06-22T16:09:17,136.68,658063360,33021190144,1.99,3890167,3948770,0,0
2026-06-22T16:09:31,121.47,745709568,33021190144,2.26,7900690,8264860,0,0
2026-06-22T16:09:45,8.54,841621504,33021190144,2.55,11857158,13363841,0,0
2026-06-22T16:09:59,89.90,879882240,33021190144,2.66,14703562,16188755,0,0
2026-06-22T16:10:13,77.86,893706240,33021190144,2.71,20054197,22222449,0,0
2026-06-22T16:10:27,67.74,930902016,33021190144,2.82,25770943,28515925,0,0
2026-06-22T16:10:42,107.35,978477056,33021190144,2.96,34671485,38778301,0,0
2026-06-22T16:10:56,46.48,1101242368,33021190144,3.33,40431712,45246979,0,0
