Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/orders/{id},14485,0,450,404.82309274524494,6.624515997827984,735.5418129991449,0.0,119.49433650439192,0.0,450,490,510,530,560,580,600,620,660,690,740
GET,GET /api/orders (cached),18726,0,420,381.55330354719035,3.831402002106188,712.1300180006074,10585.308501548649,154.48056233215348,0.0,420,470,500,510,550,580,600,620,660,700,710
GET,GET /api/products,19000,0,400,366.34866053169185,3.699232001963537,696.583704000659,3790.0,156.7409315556401,0.0,400,460,480,500,540,570,590,600,650,690,700
GET,GET /api/products/{id},19024,0,400,364.159857410795,2.5501839991193265,707.0183180003369,190.56470773759463,156.938920100763,0.0,400,450,480,500,540,570,590,610,660,700,710
GET,GET /api/users/me,19122,0,400,365.4977334699854,2.4211490017478354,721.6586819995428,134.38087020186174,157.74737332668155,0.0,400,450,480,500,540,570,590,600,670,690,720
PATCH,PATCH /api/orders/{id}/status,14698,0,440,403.76221353546475,6.572087000677129,708.9429850020679,637.019662539121,121.25148484235778,0.0,440,480,510,520,560,580,600,620,660,690,710
POST,POST /api/orders,19014,0,440,391.5425454024053,7.106148997991113,707.2673410002608,643.8683601556747,156.85642487362844,0.0,440,480,510,520,560,580,600,620,670,700,710
,Aggregated,124069,0,420,380.96193223417845,2.4211490017478354,735.5418129991449,2402.1379151923525,1023.5100335356162,0.0,420,470,500,510,550,570,600,610,660,690,740
