Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/orders/{id},15874,0,380,346.29258055732265,5.841722999321064,631.6561880012159,0.0,131.65647389987458,0.0,380,410,440,450,480,510,530,550,590,620,630
GET,GET /api/orders (cached),20559,0,360,327.92341146201886,3.0972610002208967,657.3395900013566,10667.05900092417,170.51313134103071,0.0,360,400,420,440,470,500,530,540,580,630,660
GET,GET /api/products,20514,0,340,316.23408066738773,3.6075680000067223,738.8734630003455,3790.0,170.13990837734832,0.0,340,390,410,430,460,490,520,540,580,610,740
GET,GET /api/products/{id},20739,0,340,313.3011970633378,2.276474999234779,622.6175249976222,190.6163749457544,172.0060231957603,0.0,340,390,410,430,460,490,520,540,570,610,620
GET,GET /api/users/me,20945,0,340,311.5220833325412,2.3479310002585407,601.3637100004416,134.463690618286,173.71455498506194,0.0,340,380,410,420,460,490,520,530,570,600,600
PATCH,PATCH /api/orders/{id}/status,15799,0,380,346.411874417357,6.108969999331748,620.6941050004389,639.9844926894107,131.0344356270706,0.0,380,410,430,450,480,510,540,550,580,600,620
POST,POST /api/orders,20417,0,380,338.591583308721,7.314064001548104,637.4578239992843,644.2066905030122,169.33540554452182,0.0,380,410,440,450,480,510,540,550,590,630,640
,Aggregated,134847,0,360,327.2925678172753,2.276474999234779,738.8734630003455,2425.6049003685657,1118.3999329706683,0.0,360,400,420,440,470,500,530,540,580,620,740
