Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/users/me,HTTPError('500 Server Error: Internal Server Error for url: GET /api/users/me'),939,2026-06-22T12:12:26Z,2026-06-22T12:13:55Z
GET,GET /api/products/{id},HTTPError('500 Server Error: Internal Server Error for url: GET /api/products/{id}'),893,2026-06-22T12:12:26Z,2026-06-22T12:13:55Z
GET,GET /api/products,HTTPError('500 Server Error: Internal Server Error for url: GET /api/products'),865,2026-06-22T12:12:26Z,2026-06-22T12:13:55Z
GET,GET /api/orders (cached),CatchResponseError('500'),14783,2026-06-22T12:12:01Z,2026-06-22T12:13:55Z
POST,POST /api/orders,CatchResponseError('500'),14763,2026-06-22T12:12:01Z,2026-06-22T12:13:55Z
