Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders (cached),14783,14783,440,828.8574524988738,0.8130210007948335,6438.273379000748,102.678076168572,123.93820652874133,123.93820652874133,440,510,550,580,870,5000,5300,5400,5900,6400,6400
GET,GET /api/products,14899,865,380,734.5007939623687,0.8321069981320761,6739.6541249981965,3580.237935431908,124.91073118255545,7.252015737493151,380,430,470,500,650,4900,5200,5400,5800,6200,6700
GET,GET /api/products/{id},14920,893,380,740.6737076709007,0.8602210000390187,6199.747134000063,189.7646782841823,125.0867916802287,7.4867630677241435,380,430,470,500,660,4900,5200,5400,5800,6100,6200
GET,GET /api/users/me,14971,939,380,743.6355901116202,0.8086929992714431,6297.3625480008195,137.17493821388018,125.514367174578,7.872419395960773,380,430,470,500,680,4900,5200,5400,5800,6200,6300
POST,POST /api/orders,14763,14763,450,824.9682174488249,0.9340700016764458,6413.205551001738,102.93036645668225,123.77052986429062,123.77052986429062,450,520,560,580,750,5100,5300,5400,5900,6400,6400
,Aggregated,74336,32243,400,774.3106029614793,0.8086929992714431,6739.6541249981965,824.1545280886785,623.2206264303941,270.31993459421005,400,460,510,550,710,5000,5200,5400,5900,6300,6700
