timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T14:46:22,30.45,1148133376,33021190144,3.48,13760902,11866954,0,0
2026-06-22T14:46:28,215.91,1484435456,33021190144,4.50,17248485,82299376,0,0
2026-06-22T14:46:36,248.78,1653981184,33021190144,5.01,21612031,175344097,0,0
2026-06-22T14:46:44,289.53,1771884544,33021190144,5.37,26178073,273395211,0,0
2026-06-22T14:46:52,278.70,1710366720,33021190144,5.18,30965025,373303907,0,0
2026-06-22T14:47:00,315.88,1818050560,33021190144,5.51,36172375,502595220,0,0
2026-06-22T14:47:08,333.19,1688735744,33021190144,5.11,41923156,616769177,0,0
2026-06-22T14:47:16,339.57,1823051776,33021190144,5.52,47674080,738939106,0,0
2026-06-22T14:47:24,342.79,1691205632,33021190144,5.12,53377960,856748993,0,0
2026-06-22T14:47:32,362.53,1807872000,33021190144,5.47,59181532,982161007,0,0
2026-06-22T14:47:40,333.64,1724145664,33021190144,5.22,65123762,1100972200,0,0
2026-06-22T14:47:48,348.88,1828192256,33021190144,5.54,70870629,1222600065,0,0
2026-06-22T14:47:56,365.98,1748795392,33021190144,5.30,76780743,1353926712,0,0
2026-06-22T14:48:04,368.80,1829007360,33021190144,5.54,82708082,1482502066,0,0
2026-06-22T14:48:12,358.24,1771343872,33021190144,5.36,88508612,1608804282,0,0
2026-06-22T14:48:20,282.72,1805111296,33021190144,5.47,94934855,1733715296,0,0
